od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Bagan Serai → Anak Bukit,6.0,1.0,0.0,2.0,3.0,34.0,77.0,96.0,26.0,113.0,51.0,68.0,54.0,72.0,39.0,178.0,57.0,163.0,82.0,50.0,37.0,6.0,0.0,0.0
Bagan Serai → Arau,15.0,6.0,10.0,5.0,13.0,117.0,244.0,173.0,86.0,295.0,119.0,234.0,143.0,225.0,187.0,349.0,136.0,184.0,201.0,42.0,37.0,33.0,1.0,3.0
Bagan Serai → Bagan Serai,1.0,10.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,23.0,0.0,0.0,20.0
Bagan Serai → Bukit Ketri,1.0,0.0,1.0,0.0,0.0,13.0,33.0,21.0,5.0,26.0,19.0,16.0,21.0,34.0,31.0,57.0,26.0,54.0,37.0,9.0,34.0,9.0,1.0,1.0
Bagan Serai → Bukit Mertajam,12.0,8.0,3.0,1.0,8.0,96.0,562.0,2369.0,971.0,438.0,452.0,283.0,291.0,287.0,211.0,317.0,242.0,330.0,466.0,269.0,70.0,6.0,0.0,1.0
Bagan Serai → Bukit Tengah,19.0,7.0,1.0,0.0,7.0,131.0,328.0,389.0,274.0,144.0,109.0,119.0,85.0,107.0,71.0,139.0,108.0,169.0,140.0,93.0,10.0,1.0,0.0,1.0
Bagan Serai → Butterworth,27.0,31.0,14.0,2.0,12.0,196.0,872.0,1505.0,685.0,746.0,527.0,520.0,396.0,542.0,324.0,546.0,297.0,436.0,517.0,448.0,34.0,3.0,5.0,2.0
Bagan Serai → Gurun,0.0,0.0,0.0,0.0,12.0,23.0,62.0,45.0,36.0,61.0,34.0,40.0,20.0,49.0,34.0,92.0,30.0,74.0,39.0,27.0,10.0,1.0,0.0,0.0
Bagan Serai → Ipoh,93.0,41.0,29.0,23.0,101.0,562.0,1208.0,1415.0,535.0,1080.0,166.0,465.0,801.0,244.0,795.0,230.0,784.0,393.0,609.0,399.0,70.0,43.0,12.0,2.0
Bagan Serai → Kamunting,0.0,1.0,0.0,0.0,3.0,1.0,50.0,91.0,29.0,63.0,23.0,25.0,73.0,47.0,79.0,33.0,85.0,78.0,52.0,36.0,8.0,0.0,0.0,0.0
Bagan Serai → Kobah,6.0,0.0,0.0,2.0,5.0,17.0,101.0,114.0,37.0,92.0,47.0,59.0,20.0,63.0,41.0,55.0,50.0,92.0,81.0,15.0,15.0,3.0,17.0,0.0
Bagan Serai → Kodiang,0.0,2.0,0.0,0.0,1.0,28.0,46.0,24.0,6.0,63.0,20.0,37.0,21.0,67.0,48.0,90.0,37.0,103.0,37.0,14.0,6.0,0.0,0.0,2.0
Bagan Serai → Kuala Kangsar,8.0,0.0,3.0,1.0,1.0,15.0,99.0,159.0,129.0,95.0,59.0,43.0,132.0,65.0,138.0,40.0,122.0,106.0,116.0,257.0,17.0,4.0,1.0,1.0
Bagan Serai → Nibong Tebal,1.0,0.0,0.0,2.0,0.0,10.0,92.0,278.0,19.0,73.0,56.0,77.0,61.0,59.0,45.0,69.0,158.0,81.0,99.0,34.0,5.0,0.0,0.0,0.0
Bagan Serai → Padang Besar,36.0,11.0,8.0,5.0,18.0,653.0,716.0,1144.0,881.0,466.0,255.0,106.0,102.0,64.0,48.0,23.0,35.0,47.0,56.0,7.0,18.0,17.0,1.0,2.0
Bagan Serai → Padang Rengas,0.0,0.0,0.0,0.0,2.0,37.0,45.0,29.0,19.0,24.0,8.0,7.0,8.0,11.0,6.0,9.0,27.0,8.0,18.0,17.0,4.0,0.0,0.0,0.0
Bagan Serai → Parit Buntar,10.0,1.0,2.0,1.0,1.0,15.0,95.0,325.0,30.0,89.0,47.0,60.0,58.0,69.0,52.0,65.0,56.0,64.0,82.0,31.0,8.0,1.0,0.0,3.0
Bagan Serai → Penalty,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bagan Serai → Simpang Ampat,9.0,2.0,3.0,2.0,11.0,113.0,255.0,540.0,193.0,131.0,172.0,183.0,124.0,154.0,113.0,141.0,177.0,207.0,347.0,156.0,7.0,1.0,1.0,0.0
Bagan Serai → Sungai Petani,17.0,7.0,7.0,3.0,6.0,131.0,285.0,204.0,111.0,244.0,78.0,213.0,110.0,256.0,128.0,325.0,112.0,322.0,159.0,98.0,24.0,1.0,6.0,0.0
Bagan Serai → Sungai Siput,2.0,1.0,0.0,0.0,1.0,46.0,105.0,164.0,44.0,54.0,15.0,20.0,56.0,23.0,73.0,18.0,46.0,45.0,55.0,36.0,5.0,3.0,0.0,1.0
Bagan Serai → Taiping,37.0,13.0,12.0,3.0,6.0,202.0,528.0,874.0,298.0,550.0,138.0,108.0,547.0,176.0,494.0,156.0,362.0,187.0,243.0,151.0,20.0,1.0,3.0,0.0
Bagan Serai → Tasek Gelugor,4.0,6.0,1.0,0.0,2.0,45.0,98.0,83.0,82.0,137.0,59.0,119.0,51.0,142.0,71.0,184.0,62.0,231.0,87.0,49.0,3.0,4.0,1.0,1.0
Bagan Serai → Unknown,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Bukit Ketri → Alor Setar,115.0,44.0,19.0,13.0,10.0,292.0,1036.0,1649.0,1886.0,654.0,2212.0,554.0,1352.0,385.0,1268.0,858.0,541.0,693.0,399.0,309.0,78.0,173.0,41.0,6.0
Bukit Ketri → Anak Bukit,16.0,11.0,9.0,1.0,17.0,119.0,1014.0,567.0,364.0,133.0,247.0,132.0,291.0,134.0,338.0,310.0,298.0,388.0,312.0,371.0,88.0,113.0,22.0,5.0
Bukit Ketri → Arau,4.0,3.0,2.0,2.0,1.0,36.0,43.0,84.0,53.0,16.0,88.0,25.0,110.0,40.0,79.0,71.0,61.0,51.0,63.0,100.0,19.0,37.0,10.0,5.0
Bukit Ketri → Bagan Serai,0.0,1.0,0.0,0.0,3.0,100.0,13.0,57.0,8.0,21.0,37.0,9.0,36.0,12.0,38.0,30.0,42.0,42.0,5.0,11.0,6.0,1.0,1.0,0.0
Bukit Ketri → Bukit Ketri,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
